응답ID,응답일,성별,연령대,거주지역,제품만족도(1-5),서비스만족도(1-5),재구매의향(1-5),추천의향(1-5),주요불만사항,자유의견
R001,2026-03-02,여,20대,서울,4,5,4,5,없음,전반적으로 만족합니다
R002,2026-03-02,남,30대,경기,3,3,3,2,배송지연,배송이 너무 오래 걸렸어요
R003,2026-03-03,여,40대,부산,5,5,5,5,없음,최고예요! 다음에도 이용할게요
R004,2026-03-03,남,20대,서울,2,3,2,2,품질불량,제품에 흠집이 있었습니다
R005,2026-03-04,여,30대,인천,4,4,4,4,없음,괜찮았습니다
R006,2026-03-04,남,50대,대구,5,4,5,5,없음,가격 대비 품질 훌륭합니다
R007,2026-03-05,여,20대,서울,3,2,3,3,CS응대불친절,CS 담당자가 불친절했어요
R008,2026-03-05,남,30대,광주,4,5,5,5,없음,빠른 배송 감사해요
R009,2026-03-06,여,40대,경기,4,4,4,4,없음,포장이 꼼꼼했습니다
R010,2026-03-06,남,20대,서울,1,2,1,1,품질불량,불량품이 왔고 교환도 힘들었어요
R011,2026-03-07,여,30대,부산,5,5,5,5,없음,완벽한 쇼핑 경험이었습니다
R012,2026-03-07,남,40대,서울,4,3,4,3,가격,조금 비싼 편이에요
R013,2026-03-08,여,50대,인천,3,4,3,4,없음,무난했어요
R014,2026-03-08,남,20대,대전,5,5,5,5,없음,친구들한테 추천했어요
R015,2026-03-09,여,30대,서울,4,4,4,5,없음,재구매 의향 있습니다
R016,2026-03-09,남,40대,경기,2,3,2,2,배송지연,일주일이나 걸렸어요
R017,2026-03-10,여,20대,서울,5,4,5,4,없음,디자인이 예뻐요
R018,2026-03-10,남,30대,부산,3,3,3,3,없음,보통이에요
R019,2026-03-11,여,40대,대구,4,5,4,5,없음,CS 매우 친절했습니다
R020,2026-03-11,남,50대,서울,5,5,5,5,없음,오래 사용할 것 같습니다
